Indicator,Taxonomic Level,"Matching EFG, Biome","Matching EFG, Biome (full name)",Notes,Ecoregions,pallete,Reference,Region
Canarium album,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Canarium bengalense,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Canarium pimela,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Canarium subulatum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Canarium tonkinense,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Garuga floribunda var. gamblei,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Garuga pierrei,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Choerospondias axillaris,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Dracontomelon duperreanum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Drimycarpus racemosus,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Mangifera laurina Blume,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Spondias lakonensis var. hirsuta,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Acer cinnamomifolium,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Allophylus longipes,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Amesiodendron chinense,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Dimocarpus confinis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Lepisanthes tetraphylla,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Lepisanthes tonkinensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Pavieasia anamensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Pometia pinnata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Xerospermum bonii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Atalantia guillauminii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Citrus limonia,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Clausena dunniana,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Clausena yunnanensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Glycosmis esquirolii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Glycosmis pseudoracemosa,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Micromelum falcatum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Micromelum integerrimum var. mollissimum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Paramignya confertifolia,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Tetradium trichotomum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Zanthoxylum xichouense,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ailanthus altissima,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ailanthus giraldii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ailanthus integrifolia ssp. calycina,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Aglaia elaeagnoidea,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Aglaia perviridis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Amoora dasyclada,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Amoora ouangliensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Amoora stellata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Amoora yunnanensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Aphanamixis sinensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Chisocheton cumingianus ssp. Balansae,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Dysoxylum densiflorum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Dysoxylum hongkongense,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Dysoxylum lenticellatum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Dysoxylum mollissimum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Toona ciliata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Firmiana daweishanensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Firmiana kwangsiensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Pterospermum proteus,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Sterculia impressinervis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Sterculia lanceolata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Sterculia monosperma,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Sterculia principis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Sterculia scandens,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Dipterocarpus retusus,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Hopea chinensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Parashorea chinensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Stixis suaveolens,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Champereia manillana var. longistaminea,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Scleropyrum wallichianum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Nyssa yunnanensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Dichroa febrifuga,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Alangium barbatum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Alangium kurzii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Impatiens clavigera var. auriculata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Impatiens purpureifolia,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Barringtonia fusicarpa,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Chrysophyllum lanceolatum var. stellatocarpon,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Sarcosperma kachinense,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Xantolis boniana,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Diospyros adinandroides,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Diospyros crystallina Y.M.Shui & W.H.Chen,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Diospyros eugenii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Diospyros hexamera,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Diospyros kerrii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Diospyros nigricortex,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Diospyros pilosella,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Diospyros sumatrana,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Diospyros xylocarpa,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ardisia alutacea,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ardisia conspersa,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ardisia hokouensis Yuen P. Yang,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ardisia polysticta,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ardisia purpureovillosa,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ardisia solanacea,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ardisia thyrsiflora,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Embelia vestita,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Maesa indica,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Maesa reticulata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Camellia fascicularis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Camellia luteocalpandria,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Symplocos cochinchinensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Symplocos hookeri,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Saurauia tristyla,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Saurauia yunnanensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Apodytes dimidiata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Aidia cochinchinensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Brachytome hirtellata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Canthium dicoccum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Canthium horridum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Canthium simile,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Catunaregam spinosa,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Chassalia curviflora,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Duperrea parvettaefolia,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ixora auricularis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ixora henryi,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Lasianthus hookeri var. dunniana,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Myrioneuron tonkinensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ophiorrhiza paniculiformis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Oxyceros griffithii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Pavetta arenosa,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Pavetta hongkongensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Pertusadina metcalfii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Psychotria morindoides,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Psychotria yunnanensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Rothmannia daweishanensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Rubovietnamia aristata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Tarenna laticorymbosa,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Tarenna yunnanensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Tarennoidea wallichii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Wendlandia uvariifolia,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Fagraea ceilanica,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Alstonia scholaris,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Rauvolfia verticillata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Tabernaemontana bovina,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Wrightia laevis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Lycianthes neesiana,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Silvianthus tonkinensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Chionanthus henryanus,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Chionanthus ramiflorus,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Chionanthus robinsonii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Anna submontana,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Paraboea sinensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Chroesthes lanceolata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Phlogacanthus vitellinus,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Pseuderanthemum latifolium,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Pseuderanthemum polyanthum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Strobilanthes cystolithigera,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Strobilanthes polyneuros,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Mayodendron igneum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Oroxylum indicum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Callicarpa angustifolia,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Callicarpa longifolia,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Callicarpa macrophylla,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Clerodendrum cyrtophyllum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Clerodendrum henryi,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Clerodendrum serratum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Gmelina lecomtei,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Gomphostemma lucidum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Paraphlomis javanica,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Premna szemaoensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Vitex kwangsiensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Gomphandra mollis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Ilex latifolia,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Viburnum pyramidatum,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Pittosporum kerrii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Aralia vietnamensis,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Brassaiopsis glomerulata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Brassaiopsis grushvitzkyi,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Heteropanax fragrans,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Schefflera khasiana,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Schefflera pauciflora,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Schefflera petelotii,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Schefflera zhengyiana,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Trevesia palmata,Species,T1.1,Tropical/Subtropical lowland rainforests,,,#32A06B,https://forestgeo.si.edu/sites/china/gulinqing,Vietnam China
Anaxagorea costaricensis,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Aspidosperma megalocarpon,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Capparis pittieri,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Carpotroche platyptera,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Cassipourea elliptica,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Dialium guianense,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Magnolia yocoronte,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Manilkara zapota,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Pentaclethra macroloba,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Virola guatemalensis,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Virola koschnyi,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Vochysia guatemalensis,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Alchornea costaricensis,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Anacardium excelsum,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
Andira inermis,Species,T1.1,Tropical/Subtropical lowland rainforests,Most likely T1.1,,#32A06B,https://explorer.natureserve.org/Search,Central American Countries
