Indicator,Taxonomic Level,"Matching EFG, Biome","Matching EFG, Biome (full name)",Notes,Ecoregions,pallete,Reference,Region
Carabus menetriesi,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Betula humilis,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Carex appropinquata,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Carex chordorrhiza,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Carex diandra,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Carex dioica,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Carex livida,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Epipactis palustris,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Eriophorum latifolium,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Hamatocaulis vernicosus,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Saxifraga hirculus,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Scorpidium cossonii,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Scorpidium scorpioides,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Trichophorum alpinum,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Alnus glutinosa,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Bartsia alpina,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Betula nana,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Bistorta major,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Bryum pseudotriquetrum,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
